text,sentiment,sentiment_id
"Отличный товар! Заказывала в москве, доставили быстро рекомендую всем!",positive,1
Очень хороший магазин! Буду заказывать ещё,positive,1
Качество супер Иван Петров из СПб очень доволен покупкой,positive,1
Мне оооочень понравилось! Спасибо магазину Озон за быструю доставку,positive,1
Превосходно! Анна Сидорова рекомендует этот товар всем,positive,1
Товар пришёл в Санкт-Петербург за 2 дня! Супер быстро,positive,1
Великолепно! Мария Иванова из казани в восторге,positive,1
Ужасный товар. Не покупайте! Полный брак,negative,0
Очень плохое качество( деньги на ветер. Компания АлиЭкспресс - отстой,negative,0
Кошмар! Вернул товар обратно в Wildberries,negative,0
Не советую никому. Дмитрий Козлов из Новосибирска разочарован,negative,0
Полный отстой! Елена Волкова не рекомендует,negative,0
Товар сломался через день. Ужас какой-то,negative,0
Верните деньги! Сергей Смирнов из Екатеринбурга очень недоволен,negative,0
Ну такое. Средненько ничего особенного,neutral,2
"Нормально, ожидал большего от Яндекс маркета",neutral,2
Пойдёт. За такую цену сойдёт,neutral,2
Ольга Новикова из нижнего новгорода не определилась с оценкой,neutral,2
"Обычный товар, ничего сверхъестественного.",neutral,2
